puzzle,solution,length of solution,time(s),Nodes expanded,,,length of solution,time(s),Nodes expanded,,length of solution,average time(s),average nodes expanded
"(2, 3, 4, 8, 1, 5, 7, 0, 13, 6, 11, 12, 10, 9, 14, 15)","['UP', 'LEFT', 'LEFT', 'LEFT', 'DOWN', 'RIGHT', 'DOWN', 'LEFT', 'DOWN', 'RIGHT', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT', 'RIGHT']",16,0.000374556,16,,,4,0.000218153,8,,,,
"(1, 6, 2, 3, 9, 5, 8, 4, 13, 10, 7, 12, 14, 0, 11, 15)","['LEFT', 'UP', 'UP', 'RIGHT', 'UP', 'RIGHT', 'RIGHT', 'DOWN', 'LEFT', 'DOWN', 'DOWN', 'RIGHT']",12,0.000294447,12,,,4,0.000233412,8,,,,
"(1, 2, 3, 10, 5, 6, 4, 11, 13, 9, 8, 7, 14, 0, 15, 12)","['LEFT', 'UP', 'RIGHT', 'UP', 'UP', 'RIGHT', 'DOWN', 'DOWN', 'RIGHT', 'UP', 'UP', 'LEFT', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT', 'DOWN', 'LEFT', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'DOWN']",28,0.007455349,125,,,4,0.000133753,4,,,,
"(1, 2, 3, 4, 6, 12, 7, 8, 5, 15, 0, 11, 9, 13, 10, 14)","['LEFT', 'UP', 'LEFT', 'DOWN', 'DOWN', 'RIGHT', 'RIGHT', 'RIGHT', 'UP', 'LEFT', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT', 'UP', 'LEFT', 'DOWN', 'RIGHT']",18,0.000757933,26,,,4,0.000196218,7,,,,
"(1, 2, 7, 3, 5, 0, 6, 8, 9, 10, 4, 11, 13, 14, 15, 12)","['RIGHT', 'DOWN', 'RIGHT', 'UP', 'LEFT', 'UP', 'RIGHT', 'DOWN', 'DOWN', 'DOWN']",10,0.000458717,17,,,4,0.000211954,7,,,,
"(1, 3, 0, 7, 6, 2, 15, 4, 9, 5, 10, 8, 13, 14, 12, 11)","['RIGHT', 'DOWN', 'DOWN', 'DOWN', 'LEFT', 'LEFT', 'LEFT', 'UP', 'RIGHT', 'RIGHT', 'UP', 'UP', 'LEFT', 'DOWN', 'LEFT', 'DOWN', 'DOWN', 'RIGHT', 'RIGHT', 'UP', 'RIGHT', 'DOWN']",22,0.058126211,425,,,4,0.000194311,7,,,,
"(2, 7, 4, 8, 9, 3, 6, 12, 1, 14, 5, 10, 13, 0, 11, 15)","['UP', 'RIGHT', 'RIGHT', 'UP', 'UP', 'LEFT', 'LEFT', 'DOWN', 'LEFT', 'DOWN', 'RIGHT', 'UP', 'RIGHT', 'UP', 'LEFT', 'LEFT', 'DOWN', 'DOWN', 'RIGHT', 'RIGHT', 'DOWN', 'RIGHT']",22,0.00083971,27,,,4,0.000102282,4,,,,
"(2, 3, 4, 8, 1, 6, 11, 7, 5, 13, 14, 12, 10, 0, 9, 15)","['RIGHT', 'UP', 'UP', 'RIGHT', 'UP', 'LEFT', 'LEFT', 'LEFT', 'DOWN', 'DOWN', 'DOWN', 'RIGHT', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT', 'RIGHT']",18,0.000474691,19,,,4,0.000162363,6,,,,
"(2, 5, 3, 4, 1, 10, 7, 8, 14, 6, 0, 15, 9, 13, 11, 12)","['RIGHT', 'UP', 'LEFT', 'LEFT', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'DOWN', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT', 'UP', 'UP', 'RIGHT', 'DOWN', 'DOWN', 'LEFT', 'LEFT', 'UP', 'RIGHT', 'DOWN', 'RIGHT']",24,0.001024961,33,,,4,0.00023222,8,,,,
"(5, 1, 6, 3, 9, 8, 2, 11, 0, 10, 4, 7, 13, 14, 15, 12)","['UP', 'UP', 'RIGHT', 'RIGHT', 'DOWN', 'LEFT', 'UP', 'RIGHT', 'DOWN', 'DOWN', 'RIGHT', 'UP', 'LEFT', 'UP', 'RIGHT', 'DOWN', 'LEFT', 'DOWN', 'RIGHT', 'DOWN']",20,0.001151085,38,,,4,0.00025034,8,,,,
"(5, 1, 4, 11, 2, 0, 6, 3, 9, 10, 8, 7, 13, 14, 15, 12)","['LEFT', 'UP', 'RIGHT', 'DOWN', 'RIGHT', 'RIGHT', 'UP', 'LEFT', 'DOWN', 'DOWN', 'RIGHT', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'DOWN']",16,0.00077486,27,,,4,0.000243902,9,,,,
"(1, 6, 3, 4, 5, 14, 8, 2, 9, 7, 0, 10, 13, 15, 12, 11)","['LEFT', 'UP', 'UP', 'RIGHT', 'DOWN', 'RIGHT', 'DOWN', 'DOWN', 'LEFT', 'LEFT', 'UP', 'UP', 'RIGHT', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT', 'DOWN', 'LEFT', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'DOWN']",30,0.003679514,81,,,4,0.000202656,7,,,,
"(1, 3, 7, 4, 6, 2, 11, 8, 5, 10, 14, 12, 9, 13, 15, 0)","['LEFT', 'UP', 'UP', 'UP', 'LEFT', 'DOWN', 'LEFT', 'DOWN', 'DOWN', 'RIGHT', 'RIGHT', 'RIGHT']",12,0.000314951,12,,,4,0.000139952,4,,,,
"(9, 1, 2, 4, 13, 6, 3, 0, 5, 12, 8, 7, 10, 11, 14, 15)","['DOWN', 'LEFT', 'LEFT', 'LEFT', 'UP', 'UP', 'RIGHT', 'RIGHT', 'DOWN', 'LEFT', 'DOWN', 'DOWN', 'LEFT', 'UP', 'UP', 'RIGHT', 'RIGHT', 'RIGHT', 'DOWN', 'LEFT', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT']",24,0.000873804,29,,,4,0.000231028,8,,,,
