puzzle,solution,length of solution,time(s),Nodes expanded,,,length of solution,time(s),Nodes expanded,,length of solution,average time(s),average Nodes expanded
"(1, 6, 2, 3, 9, 5, 8, 4, 13, 10, 7, 12, 14, 0, 11, 15)","['LEFT', 'UP', 'UP', 'RIGHT', 'UP', 'RIGHT', 'RIGHT', 'DOWN', 'LEFT', 'DOWN', 'DOWN', 'RIGHT']",12,0.000331402,12,,,4,0.000146627,4,,,,
"(1, 2, 3, 10, 5, 6, 4, 11, 13, 9, 8, 7, 14, 0, 15, 12)","['LEFT', 'UP', 'RIGHT', 'UP', 'UP', 'RIGHT', 'DOWN', 'RIGHT', 'UP', 'LEFT', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT', 'DOWN', 'LEFT', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'UP', 'RIGHT', 'DOWN', 'DOWN']",24,0.08348012,551,,,4,0.000138998,4,,,,
"(1, 2, 3, 4, 6, 12, 7, 8, 5, 15, 0, 11, 9, 13, 10, 14)","['LEFT', 'UP', 'LEFT', 'DOWN', 'DOWN', 'RIGHT', 'RIGHT', 'RIGHT', 'UP', 'LEFT', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT', 'UP', 'LEFT', 'DOWN', 'RIGHT']",18,0.00429678,96,,,4,0.000140429,4,,,,
"(1, 2, 7, 3, 5, 0, 6, 8, 9, 10, 4, 11, 13, 14, 15, 12)","['RIGHT', 'DOWN', 'RIGHT', 'UP', 'LEFT', 'UP', 'RIGHT', 'DOWN', 'DOWN', 'DOWN']",10,0.000476122,17,,,4,0.000159025,4,,,,
"(1, 3, 0, 7, 6, 2, 15, 4, 9, 5, 10, 8, 13, 14, 12, 11)","['RIGHT', 'DOWN', 'DOWN', 'DOWN', 'LEFT', 'LEFT', 'LEFT', 'UP', 'RIGHT', 'RIGHT', 'UP', 'UP', 'LEFT', 'DOWN', 'LEFT', 'DOWN', 'DOWN', 'RIGHT', 'RIGHT', 'UP', 'RIGHT', 'DOWN']",22,0.172499418,803,,,4,0.000119925,4,,,,
"(2, 7, 4, 8, 9, 3, 6, 12, 1, 14, 5, 10, 13, 0, 11, 15)","['UP', 'RIGHT', 'RIGHT', 'UP', 'UP', 'LEFT', 'LEFT', 'DOWN', 'LEFT', 'DOWN', 'RIGHT', 'UP', 'RIGHT', 'UP', 'LEFT', 'LEFT', 'DOWN', 'DOWN', 'RIGHT', 'RIGHT', 'DOWN', 'RIGHT']",22,0.001237869,34,,,4,0.000111103,4,,,,
"(2, 3, 4, 8, 1, 6, 11, 7, 5, 13, 14, 12, 10, 0, 9, 15)","['RIGHT', 'UP', 'UP', 'RIGHT', 'UP', 'LEFT', 'LEFT', 'LEFT', 'DOWN', 'DOWN', 'DOWN', 'RIGHT', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT', 'RIGHT']",18,0.000558138,20,,,4,0.000164986,4,,,,
"(2, 5, 3, 4, 1, 10, 7, 8, 14, 6, 0, 15, 9, 13, 11, 12)","['RIGHT', 'UP', 'LEFT', 'LEFT', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'DOWN', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT', 'UP', 'UP', 'RIGHT', 'DOWN', 'DOWN', 'LEFT', 'LEFT', 'UP', 'RIGHT', 'DOWN', 'RIGHT']",24,0.540706158,1531,,,4,0.000140905,4,,,,
"(5, 1, 6, 3, 9, 8, 2, 11, 0, 10, 4, 7, 13, 14, 15, 12)","['UP', 'UP', 'RIGHT', 'RIGHT', 'DOWN', 'DOWN', 'RIGHT', 'UP', 'LEFT', 'LEFT', 'UP', 'RIGHT', 'RIGHT', 'DOWN', 'LEFT', 'DOWN', 'RIGHT', 'DOWN']",18,0.000662088,22,,,4,0.000149727,4,,,,
"(5, 1, 4, 11, 2, 0, 6, 3, 9, 10, 8, 7, 13, 14, 15, 12)","['LEFT', 'UP', 'RIGHT', 'DOWN', 'RIGHT', 'RIGHT', 'UP', 'LEFT', 'DOWN', 'DOWN', 'RIGHT', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'DOWN']",16,0.000488997,16,,,4,0.000144243,4,,,,
