puzzle,solution,length of solution,time(s)
"(3, 2, 4, 8, 1, 0, 10, 7, 6, 5, 9, 12, 13, 14, 11, 15)","['UP', 'LEFT', 'DOWN', 'DOWN', 'RIGHT', 'RIGHT', 'UP', 'RIGHT', 'UP', 'LEFT', 'LEFT', 'DOWN', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT', 'DOWN', 'RIGHT']",18,0.0
"(1, 2, 3, 4, 5, 6, 8, 11, 9, 14, 10, 7, 13, 0, 15, 12)","['UP', 'RIGHT', 'RIGHT', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'DOWN']",8,0.015621423721313477
"(1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 10, 12, 13, 0, 11, 15)","['UP', 'RIGHT', 'DOWN', 'RIGHT']",4,0.0
"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 12, 13, 14, 11, 15)","['DOWN', 'RIGHT']",2,0.0
"(1, 2, 3, 4, 5, 0, 6, 8, 9, 10, 7, 11, 13, 14, 15, 12)","['RIGHT', 'DOWN', 'RIGHT', 'DOWN']",4,0.0
"(1, 3, 7, 4, 5, 2, 11, 0, 9, 6, 8, 15, 13, 14, 12, 10)","['LEFT', 'DOWN', 'RIGHT', 'DOWN', 'LEFT', 'UP', 'RIGHT', 'UP', 'LEFT', 'UP', 'LEFT', 'DOWN', 'DOWN', 'RIGHT', 'RIGHT', 'DOWN']",16,0.06250476837158203
"(1, 2, 3, 4, 9, 0, 6, 8, 10, 5, 7, 12, 13, 14, 11, 15)","['DOWN', 'LEFT', 'UP', 'RIGHT', 'RIGHT', 'DOWN', 'DOWN', 'RIGHT']",8,0.0
"(1, 2, 4, 8, 5, 6, 7, 0, 9, 10, 12, 3, 13, 14, 11, 15)","['DOWN', 'LEFT', 'UP', 'RIGHT', 'UP', 'LEFT', 'DOWN', 'DOWN', 'DOWN', 'RIGHT']",10,0.0
"(1, 2, 3, 4, 5, 6, 8, 12, 9, 14, 0, 7, 13, 11, 10, 15)","['DOWN', 'LEFT', 'UP', 'RIGHT', 'RIGHT', 'UP', 'LEFT', 'DOWN', 'DOWN', 'RIGHT']",10,0.0
"(1, 2, 0, 4, 5, 6, 3, 7, 9, 10, 11, 8, 13, 14, 15, 12)","['DOWN', 'RIGHT', 'DOWN', 'DOWN']",4,0.0
